situation,commande_suggeree,rejected,reponse_parser
The large cupboard is not flush ,OPEN COFFER,N,Opening the coffer reveals an in
Opening the coffer reveals an in,READ INVITATION,N,"The invitation is addressed to """
"The invitation is addressed to """,EXAMINE DRESS,N,"It is your favorite old frock, l"
"It is your favorite old frock, l",TAKE DRESS,N,You're already wearing the cotto
You're already wearing the cotto,EXAMINE ROOM,N,Captain's Quarters The room has 
Captain's Quarters The room has ,OPEN COFFER,N,It is already open. The end of a
It is already open. The end of a,CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,OPEN WINDOW,N,These windows don't open.
These windows don't open.,EXAMINE WINDOW,N,Tall panes of glass are inset in
Tall panes of glass are inset in,CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,OPEN WINDOW,N,These windows don't open.
These windows don't open.,EXAMINE WINDOW,N,Tall panes of glass are inset in
Tall panes of glass are inset in,CLIMB LEDGE,N,It's Bedlam for you!
It's Bedlam for you!,EXAMINE ROOM,N,Captain's Quarters The room has 
Captain's Quarters The room has ,OPEN COFFER,N,It is already open.
It is already open.,EXAMINE COFFER,N,"It is a small heavy chest, with "
"It is a small heavy chest, with ",TAKE ALL,N,coffer: Taken. The end of a rope
coffer: Taken. The end of a rope,CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,OPEN WINDOW,N,These windows don't open.
These windows don't open.,EXAMINE WINDOW,N,Tall panes of glass are inset in
Tall panes of glass are inset in,OPEN WINDOW,N,These windows don't open.
These windows don't open.,EXAMINE WINDOW,N,Tall panes of glass are inset in
Tall panes of glass are inset in,CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,OPEN WINDOW,N,These windows don't open. The en
These windows don't open. The en,CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,OPEN WINDOW,N,These windows don't open.
These windows don't open.,EXAMINE WINDOW,N,Tall panes of glass are inset in
Tall panes of glass are inset in,CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,OPEN WINDOW,N,These windows don't open.
These windows don't open.,EXAMINE WINDOW,N,Tall panes of glass are inset in
Tall panes of glass are inset in,OPEN WINDOW,N,These windows don't open.
These windows don't open.,EXAMINE WINDOW,N,Tall panes of glass are inset in
Tall panes of glass are inset in,CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,EXIT WINDOW,N,The available ledge on this side
The available ledge on this side,LOOK,N,Captain's Quarters The room has 
Captain's Quarters The room has ,OPEN WINDOW,N,These windows don't open. The en
These windows don't open. The en,CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,OPEN WINDOW,N,These windows don't open. The en
These windows don't open. The en,CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,OPEN WINDOW,N,These windows don't open. The en
These windows don't open. The en,CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,OPEN WINDOW,N,These windows don't open. The en
These windows don't open. The en,CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,EXIT WINDOW,N,The available ledge on this side
The available ledge on this side,LOOK LEDGE,N,You may use prepositions to indi
You may use prepositions to indi,OPEN WINDOW,N,These windows don't open.
These windows don't open.,EXAMINE WINDOW,N,Tall panes of glass are inset in
Tall panes of glass are inset in,LOOK THROUGH WINDOW,N,A rope ladder twists by in the b
A rope ladder twists by in the b,CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,EXIT WINDOW,N,The available ledge on this side
The available ledge on this side,EXAMINE LEDGE,N,Tall panes of glass are inset in
Tall panes of glass are inset in,CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,OPEN WINDOW,N,These windows don't open.
These windows don't open.,EXAMINE WINDOW,N,Tall panes of glass are inset in
Tall panes of glass are inset in,OPEN WINDOW,N,These windows don't open.
These windows don't open.,EXAMINE WINDOW,N,Tall panes of glass are inset in
Tall panes of glass are inset in,CLIMB LADDER,N,It's on the other side of the wi
