situation,commande_suggeree,rejected,reponse_parser
"Think again, guv'nor.",PULL LEDGE,N,You can't reach the ledge from t
You can't reach the ledge from t,OPEN BOX,N,You can't reach the coffer from 
You can't reach the coffer from ,TAKE BROOCH,N,You'll have to stand up first.
You'll have to stand up first.,STAND,N,You get out of the bed.
You get out of the bed.,OPEN COFFER,N,Opening the coffer reveals an in
Opening the coffer reveals an in,READ INVITATION,N,"The invitation is addressed to """
"The invitation is addressed to """,CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,GO WINDOW,N,Did you have any particular dire
Did you have any particular dire,CLIMB WINDOW,N,It's Bedlam for you! The end of 
It's Bedlam for you! The end of ,GRAB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,EXAMINE BROOCH,N,"All diamonds winking fire, tears"
"All diamonds winking fire, tears",TAKE BROOCH,N,You already have the jewelled br
You already have the jewelled br,CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,OPEN WINDOW,N,These windows don't open.
These windows don't open.,CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,CLIMB DOWN LADDER,N,You'll have to get on the ladder
You'll have to get on the ladder,CLIMB DOWN,N,You can't go that way. The end o
You can't go that way. The end o,PUSH WINDOW,N,Pushing the window doesn't do an
Pushing the window doesn't do an,EXAMINE ROPE,N,Completely common looking rope l
Completely common looking rope l,PULL ROPE,N,Pulling the ladder accomplishes 
Pulling the ladder accomplishes ,EXAMINE BROOCH,N,"All diamonds winking fire, tears"
"All diamonds winking fire, tears",REPAIR BROOCH,N,That will have to be done by a g
That will have to be done by a g,TAKE ROPE,N,It's on the other side of the wi
It's on the other side of the wi,OPEN WINDOW,N,These windows don't open. The en
These windows don't open. The en,EXAMINE TABLE,N,"You have no need for that, milad"
"You have no need for that, milad",CLIMB ROPE,N,It's on the other side of the wi
It's on the other side of the wi,OPEN TABLE,N,"You have no need for that, milad"
"You have no need for that, milad",UNLOCK TABLE,N,It already is.
It already is.,SEARCH TABLE,N,"You have no need for that, milad"
"You have no need for that, milad",EXAMINE DESK,N,"You have no need for that, milad"
"You have no need for that, milad",CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,TAKE ROPE,N,It's on the other side of the wi
It's on the other side of the wi,GRAB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,OPEN WINDOW,N,These windows don't open. The en
These windows don't open. The en,CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,GRAB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,PULL LADDER,N,Pulling the ladder doesn't do an
Pulling the ladder doesn't do an,EXAMINE ROPE,N,Completely common looking rope l
Completely common looking rope l,CLIMB ROPE,N,It's on the other side of the wi
It's on the other side of the wi,CLIMB ROPE,N,It's on the other side of the wi
It's on the other side of the wi,TIE ROPE,Y,[What do you want to tie the rope to?]
[What do you want to tie the rop,TIE ROPE TO WINDOW,N,That is a waste of time. The end
That is a waste of time. The end,EXAMINE WINDOW,N,Tall panes of glass are inset in
Tall panes of glass are inset in,OPEN WINDOW,N,These windows don't open. The en
These windows don't open. The en,TAKE ROPE,N,It's on the other side of the wi
It's on the other side of the wi,LOOK THROUGH WINDOW,N,A rope ladder twists by in the b
A rope ladder twists by in the b,CLIMB LADDER,N,It's on the other side of the wi
It's on the other side of the wi,TIE ROPE TO LADDER,N,What an odd thing to attempt. Th
What an odd thing to attempt. Th,PULL ROPE,N,Pulling the ladder accomplishes 
Pulling the ladder accomplishes ,TIE ROPE TO LEDGE,N,It's not worth it. Believe me. T
It's not worth it. Believe me. T,BREAK GLASS,N,And how do you propose to do tha
And how do you propose to do tha,HIT GLASS WITH ROPE,N,You're not holding the ladder.
You're not holding the ladder.,SWING ROPE,N,You're not holding the ladder.
You're not holding the ladder.,SECURE ROPE,Y,[What do you want to secure the rope to?]
[What do you want to secure the ,TIE ROPE TO LEDGE,N,That seems a useless idea.
That seems a useless idea.,CLIMB DOWN,N,You can't go that way.
